id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
95808505,Coragyps atratus,species,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,https://inaturalist-open-data.s3.amazonaws.com/photos/159096780/original.jpeg
95808543,Melanerpes carolinus,species,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,https://inaturalist-open-data.s3.amazonaws.com/photos/159097051/original.jpg
95808543,Melanerpes carolinus,species,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,https://inaturalist-open-data.s3.amazonaws.com/photos/159097069/original.jpg
95808543,Melanerpes carolinus,species,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,https://inaturalist-open-data.s3.amazonaws.com/photos/159097089/original.jpg
95808547,Pseudoleistes virescens,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,https://inaturalist-open-data.s3.amazonaws.com/photos/159097058/original.jpeg
95808547,Pseudoleistes virescens,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,https://inaturalist-open-data.s3.amazonaws.com/photos/159097086/original.jpeg
95808561,Hemiphaga novaeseelandiae,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097090/original.jpg
127737925,Ciconia ciconia,species,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,https://inaturalist-open-data.s3.amazonaws.com/photos/216894411/original.jpeg
95808571,Hemiphaga novaeseelandiae,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097126/original.jpeg
95808571,Hemiphaga novaeseelandiae,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097147/original.jpeg
95808591,Hemiphaga novaeseelandiae,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Hemiphaga,https://inaturalist-open-data.s3.amazonaws.com/photos/159097175/original.jpeg
127737943,Catharus guttatus,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892213/original.jpg
127737976,Larus smithsonianus,species,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892243/original.jpeg
