id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
127725233,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869197/original.jpg,https://www.inaturalist.org/photos/216869197,2022-07-16T17:24:12Z,malleable_rock,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,malleable_rock,216869197
127725233,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869154/original.jpg,https://www.inaturalist.org/photos/216869154,2022-07-16T17:24:12Z,malleable_rock,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,malleable_rock,216869154
127725234,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869133/original.jpg,https://www.inaturalist.org/photos/216869133,2022-07-19T21:21:09Z,archie-taylor,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,archie-taylor,216869133
127725234,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869158/original.jpg,https://www.inaturalist.org/photos/216869158,2022-07-19T21:21:09Z,archie-taylor,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,archie-taylor,216869158
127725234,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869181/original.jpg,https://www.inaturalist.org/photos/216869181,2022-07-19T21:21:09Z,archie-taylor,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,archie-taylor,216869181
127725234,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869205/original.jpg,https://www.inaturalist.org/photos/216869205,2022-07-19T21:21:09Z,archie-taylor,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,archie-taylor,216869205
127725235,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869105/original.jpg,https://www.inaturalist.org/photos/216869105,2022-07-24T18:19:57-07:00,Volnushka,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Volnushka,216869105
127725235,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869080/original.jpg,https://www.inaturalist.org/photos/216869080,2022-07-24T18:20:04-07:00,Volnushka,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Volnushka,216869080
127725237,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/216869150/original.jpeg,https://www.inaturalist.org/photos/216869150,2022-04-04T11:01:15-07:00,Antonela Boggian,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Antonela Boggian,216869150
95794005,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071822/original.jpg,https://www.inaturalist.org/photos/159071822,2021-09-22T19:13:23Z,josephinelp,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,josephinelp,159071822
95794009,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071441/original.jpg,https://www.inaturalist.org/photos/159071441,2021-09-22T21:07:07Z,ronmckitrick,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,ronmckitrick,159071441
95794010,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071502/original.jpeg,https://www.inaturalist.org/photos/159071502,2021-09-22T18:44:23-07:00,elisa_bvs,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,elisa_bvs,159071502
95794011,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159081978/original.jpg,https://www.inaturalist.org/photos/159081978,2021-09-22T16:08:23Z,wyattables,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,wyattables,159081978
95794011,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159081853/original.jpg,https://www.inaturalist.org/photos/159081853,2021-09-22T16:08:23Z,wyattables,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,wyattables,159081853
95794011,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159081910/original.jpg,https://www.inaturalist.org/photos/159081910,2021-09-22T16:08:23Z,wyattables,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,wyattables,159081910
95794013,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071358/original.jpg,https://www.inaturalist.org/photos/159071358,2021-09-13T16:50:43-07:00,Susan Elliott,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Susan Elliott,159071358
95794016,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071460/original.jpeg,https://www.inaturalist.org/photos/159071460,2021-09-22T21:09:10Z,kalaczynski,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,kalaczynski,159071460
95794023,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/159071413/original.jpeg,https://www.inaturalist.org/photos/159071413,2021-09-03T17:15:41-07:00,Rodolfo Marliani,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Rodolfo Marliani,159071413
