id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
223515845,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/396053373/original.jpeg
223515845,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/396097596/original.jpeg
223515845,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/396097637/original.jpeg
191585889,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/336135734/original.jpg
223515929,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/396053602/original.jpg
159656404,Sylvilagus floridanus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,https://inaturalist-open-data.s3.amazonaws.com/photos/275849336/original.jpg
159656442,Sciurus niger,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/275849840/original.jpg
63862633,Ursus americanus,species,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,https://inaturalist-open-data.s3.amazonaws.com/photos/102569760/original.jpg
63862633,Ursus americanus,species,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,https://inaturalist-open-data.s3.amazonaws.com/photos/102569770/original.jpg
63862633,Ursus americanus,species,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,https://inaturalist-open-data.s3.amazonaws.com/photos/102569782/original.jpg
63862633,Ursus americanus,species,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,https://inaturalist-open-data.s3.amazonaws.com/photos/102569803/original.jpg
223516080,Felis catus,species,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,https://inaturalist-open-data.s3.amazonaws.com/photos/396053663/original.jpg
127724636,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/216865825/original.jpg
127724637,Dasypus novemcinctus,species,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865841/original.jpg
127724638,Dasypus novemcinctus,species,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865866/original.jpg
127724644,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865888/original.jpg
127724644,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865905/original.jpg
127724647,Urva auropunctata,species,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Urva,https://inaturalist-open-data.s3.amazonaws.com/photos/216867677/original.jpg
63862661,Odocoileus hemionus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102569799/original.jpeg
191586062,Oryctolagus cuniculus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136014/original.jpg
223516129,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396053419/original.jpg
223516129,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396054185/original.jpg
223516129,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396054183/original.jpg
223516129,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396054189/original.jpg
223516137,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/396081729/original.jpg
191586104,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136144/original.jpg
191586104,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136166/original.jpg
95793056,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/159069516/original.jpeg
191586234,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136344/original.jpg
63862796,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/102570251/original.jpg
63862796,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/102570055/original.jpg
63862796,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/102570057/original.jpg
63862796,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/102570065/original.jpg
223516452,Isoodon obesulus,species,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,https://inaturalist-open-data.s3.amazonaws.com/photos/396054561/original.jpeg
223516452,Isoodon obesulus,species,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Isoodon,https://inaturalist-open-data.s3.amazonaws.com/photos/396054584/original.jpeg
95793226,Antilocapra americana,species,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,https://inaturalist-open-data.s3.amazonaws.com/photos/159069918/original.jpg
95793226,Antilocapra americana,species,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,https://inaturalist-open-data.s3.amazonaws.com/photos/159069939/original.jpg
95793238,Lontra canadensis,species,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,https://inaturalist-open-data.s3.amazonaws.com/photos/159071677/original.jpg
191586325,Ovis canadensis,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,https://inaturalist-open-data.s3.amazonaws.com/photos/336136285/original.jpg
223516583,Wallabia bicolor,species,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,https://inaturalist-open-data.s3.amazonaws.com/photos/396054824/original.jpeg
191586358,Microtus pennsylvanicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136449/original.jpeg
191586372,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136483/original.jpg
191586416,Sylvilagus floridanus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,https://inaturalist-open-data.s3.amazonaws.com/photos/336136704/original.jpg
223516655,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396054515/original.jpg
223516655,Epomophorus crypturus,species,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomophorus,https://inaturalist-open-data.s3.amazonaws.com/photos/396055031/original.jpg
95793389,Ondatra zibethicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,https://inaturalist-open-data.s3.amazonaws.com/photos/159070157/original.jpeg
95793389,Ondatra zibethicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,https://inaturalist-open-data.s3.amazonaws.com/photos/159070183/original.jpeg
95793389,Ondatra zibethicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,https://inaturalist-open-data.s3.amazonaws.com/photos/159070242/original.jpeg
191586472,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336135950/original.jpeg
95793520,Macropus giganteus,species,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,https://inaturalist-open-data.s3.amazonaws.com/photos/159070668/original.jpeg
95793575,Lontra longicaudis,species,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,https://inaturalist-open-data.s3.amazonaws.com/photos/159070710/original.jpeg
95793617,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/159070915/original.jpg
223516969,Sus scrofa,species,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,https://inaturalist-open-data.s3.amazonaws.com/photos/396049057/original.jpg
191586608,Didelphis virginiana,species,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,https://inaturalist-open-data.s3.amazonaws.com/photos/336137040/original.jpeg
191586662,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/336146045/original.jpg
95793834,Dama dama,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,https://static.inaturalist.org/sounds/308440.mp3?1632344847
95793916,Myocastor coypus,species,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Myocastor,https://inaturalist-open-data.s3.amazonaws.com/photos/159070980/original.jpg
191586946,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336137591/original.jpeg
191586959,Sciurus carolinensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/336137630/original.jpeg
95794074,Cervus elaphus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,https://static.inaturalist.org/sounds/308441.mp3?1632344996
191587067,Procyon lotor,species,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,https://inaturalist-open-data.s3.amazonaws.com/photos/336135939/original.jpeg
